,Name,IATA,Latitude,Longitude
3549,Lea County Regional Airport,HOB,32.6875,-103.2170029
3551,Denver International Airport,DEN,39.861698150635,-104.672996521
3552,Philadelphia International Airport,PHL,39.87189865112305,-75.24109649658203
3553,Sioux Gateway Col. Bud Day Field,SUX,42.40259933,-96.38439941
3559,John Glenn Columbus International Airport,CMH,39.998001,-82.891899
3582,Mobile Regional Airport,MOB,30.691200256348,-88.242797851562
3584,Santa Fe Municipal Airport,SAF,35.617099762,-106.088996887
3593,Southwest Florida International Airport,RSW,26.53619956970215,-81.75520324707031
3597,John F Kennedy International Airport,JFK,40.63980103,-73.77890015
3606,Charleston Air Force Base-International Airport,CHS,32.89860153,-80.04049683
3607,Reno Tahoe International Airport,RNO,39.49909973144531,-119.76799774169922
3611,Birmingham-Shuttlesworth International Airport,BHM,33.56290054,-86.75350189
3617,Sacramento International Airport,SMF,38.69540023803711,-121.59100341796876
3619,City of Colorado Springs Municipal Airport,COS,38.805801,-104.700996
3620,Buffalo Niagara International Airport,BUF,42.94049835,-78.73220062
3625,Bradley International Airport,BDL,41.9388999939,-72.68319702149999
3629,Lubbock Preston Smith International Airport,LBB,33.663601,-101.822998
3630,Chicago O'Hare International Airport,ORD,41.9786,-87.9048
3639,Palm Springs International Airport,PSP,33.8297004699707,-116.50700378417967
3640,Rick Husband Amarillo International Airport,AMA,35.219398,-101.706001
3645,Wilmington International Airport,ILM,34.270599365234375,-77.90260314941406
3646,Baton Rouge Metropolitan Airport,BTR,30.533199,-91.149597
3649,Baltimore/Washington International Thurgood Marshall Airport,BWI,39.1754,-76.668297
3652,Alexandria International Airport,AEX,31.32740020751953,-92.54979705810548
3655,Tulsa International Airport,TUL,36.19839859008789,-95.88809967041016
3658,Minneapolis-St Paul International/Wold-Chamberlain Airport,MSP,44.882,-93.221802
3661,Louis Armstrong New Orleans International Airport,MSY,29.99340057373047,-90.25800323486328
3662,Portland International Jetport Airport,PWM,43.64619827,-70.30930328
3663,Will Rogers World Airport,OKC,35.39310073852539,-97.60070037841795
3664,Albany International Airport,ALB,42.74829864501953,-73.80169677734375
3667,John Wayne Airport-Orange County Airport,SNA,33.67570114,-117.8679962
3673,Destin-Ft Walton Beach Airport,VPS,30.4832,-86.525398
3675,Key West International Airport,EYW,24.556100845336918,-81.75959777832031
3676,Charlotte Douglas International Airport,CLT,35.2140007019043,-80.94309997558594
3677,McCarran International Airport,LAS,36.08010101,-115.1520004
3678,Orlando International Airport,MCO,28.429399490356445,-81.30899810791016
3680,Great Falls International Airport,GTF,47.48199844,-111.3710022
3741,Ithaca Tompkins Regional Airport,ITH,42.49100112915039,-76.4583969116211
3742,Monterey Peninsula Airport,MRY,36.58700180053711,-121.84300231933594
3743,Santa Barbara Municipal Airport,SBA,34.42620087,-119.8399963
3744,Daytona Beach International Airport,DAB,29.179899,-81.058098
3793,Asheville Regional Airport,AVL,35.43619918823242,-82.54180145263672
3794,Piedmont Triad International Airport,GSO,36.097801208496094,-79.93730163574219
3795,Joe Foss Field Airport,FSD,43.5820007324,-96.741897583
3797,Manchester-Boston Regional Airport,MHT,42.932598,-71.435699
3800,Louisville International Standiford Field,SDF,38.1744,-85.736
3801,Charlottesville Albemarle Airport,CHO,38.13859939575195,-78.4529037475586
3802,Roanoke–Blacksburg Regional Airport,ROA,37.3255,-79.975403
3803,Blue Grass Airport,LEX,38.0364990234375,-84.60590362548828
3804,Evansville Regional Airport,EVV,38.0369987488,-87.5324020386
3805,Albuquerque International Sunport,ABQ,35.040199,-106.609001
3806,Gallatin Field,BZN,45.77750015,-111.1529999
3807,Billings Logan International Airport,BIL,45.80770111083984,-108.54299926757812
3809,Cherry Capital Airport,TVC,44.74140167236328,-85.58219909667969
3813,Jackson Hole Airport,JAC,43.6072998046875,-110.73799896240234
3819,Greenville Spartanburg International Airport,GSP,34.8956985474,-82.2189025879
3820,Central Illinois Regional Airport at Bloomington-Normal,BMI,40.47710037,-88.91590118
3821,Gulfport Biloxi International Airport,GPT,30.40730094909668,-89.07009887695312
3824,Fort Wayne International Airport,FWA,40.97850037,-85.19509888
3826,The Eastern Iowa Airport,CID,41.88470077514648,-91.71080017089844
3829,General Wayne A. Downing Peoria International Airport,PIA,40.664199829100006,-89.6932983398
3830,Appleton International Airport,ATW,44.2580986023,-88.5190963745
3832,University of Illinois Willard Airport,CMI,40.03919983,-88.27809906
3833,Manhattan Regional Airport,MHK,39.14099884033203,-96.6707992553711
3848,Sarasota Bradenton International Airport,SRQ,27.39539909362793,-82.55439758300781
3851,Quad City International Airport,MLI,41.44850158691406,-90.50749969482422
3860,Bismarck Municipal Airport,BIS,46.77270126342773,-100.74600219726562
3861,Telluride Regional Airport,TEX,37.9538002,-107.9079971
3864,Rapid City Regional Airport,RAP,44.0452995300293,-103.05699920654295
3866,Bishop International Airport,FNT,42.96540069580078,-83.74359893798828
3875,Redding Municipal Airport,RDD,40.50899887,-122.2929993
3876,Mahlon Sweet Field,EUG,44.12459945678711,-123.21199798583984
3877,Idaho Falls Regional Airport,IDA,43.514599,-112.070999
3878,Rogue Valley International Medford Airport,MFR,42.37419891357422,-122.8730010986328
3880,Roberts Field,RDM,44.2541008,-121.1500015
3890,Huntsville International Carl T Jones Field,HSV,34.637199401855,-86.775100708008
3892,Montgomery Regional (Dannelly Field) Airport,MGM,32.30059814,-86.39399719
3893,Tri-Cities Regional TN/VA Airport,TRI,36.475201,-82.407401
3900,Glacier Park International Airport,FCA,48.31050109863281,-114.25599670410156
3901,MBS International Airport,MBS,43.532901763916016,-84.07959747314453
3978,Missoula International Airport,MSO,46.91630173,-114.0910034
3985,Clovis Municipal Airport,CVN,34.4250984192,-103.07900238
4007,Columbus Metropolitan Airport,CSG,32.516300201416016,-84.93890380859375
4013,Martha's Vineyard Airport,MVY,41.3931007385,-70.6143035889
4022,Barnstable Municipal Boardman Polando Field,HYA,41.66930008,-70.28040314
4025,Morgantown Municipal Walter L. Bill Hart Field,MGW,39.64289856,-79.91629791
4026,Yeager Airport,CRW,38.37310028076172,-81.59320068359375
4027,Wilkes Barre Scranton International Airport,AVP,41.3385009766,-75.72339630130001
4032,Hector International Airport,FAR,46.92070007324219,-96.81580352783205
4055,University Park Airport,SCE,40.8493003845,-77.84870147710001
4069,Cortez Municipal Airport,CEZ,37.3030014038,-108.627998352
4078,Springfield Branson National Airport,SGF,37.24570084,-93.38860321
4085,Lehigh Valley International Airport,ABE,40.652099609375,-75.44080352783203
4086,Northwest Arkansas Regional Airport,XNA,36.281898,-94.306801
4089,South Bend Regional Airport,SBN,41.70869827270508,-86.31729888916016
4111,California Redwood Coast-Humboldt County Airport,ACV,40.978101,-124.109
4413,Watertown Regional Airport,ATY,44.91400146,-97.15470123
4414,Bradford Regional Airport,BFD,41.8031005859375,-78.64009857177734
4422,North Central West Virginia Airport,CKB,39.2966003418,-80.2281036377
4426,DuBois Regional Airport,DUJ,41.17829895,-78.8986969
4430,Fayetteville Regional Grannis Field,FAY,34.9911994934082,-78.88030242919922
4433,Memorial Field,HOT,34.47800064086914,-93.09619903564452
4443,Lancaster Airport,LNS,40.121700286865234,-76.29609680175781
4449,Southwest Oregon Regional Airport,OTH,43.41709899902344,-124.24600219726562
4450,Owensboro Daviess County Airport,OWB,37.74010086,-87.16680145
4460,San Luis County Regional Airport,SBP,35.2368011475,-120.641998291
4462,Adirondack Regional Airport,SLK,44.38529968261719,-74.2061996459961
4463,Salina Municipal Airport,SLN,38.79100036621094,-97.6521987915039
4466,Quincy Regional Baldwin Field,UIN,39.94269943,-91.19460297
4767,Mid Delta Regional Airport,GLH,33.4828987121582,-90.98560333251952
4768,Tri Cities Airport,PSC,46.26470184326172,-119.11900329589844
5055,Worcester Regional Airport,ORH,42.26729965209961,-71.87570190429688
5088,Friedman Memorial Airport,SUN,43.50439835,-114.2959976
5182,Delta County Airport,ESC,45.7226982117,-87.0936965942
5194,Williamson County Regional Airport,MWA,37.75500107,-89.01110077
5201,Ford Airport,IMT,45.8184013367,-88.1145019531
5224,Montrose Regional Airport,MTJ,38.5097999573,-107.893997192
5276,Greenbrier Valley Airport,LWB,37.8582992554,-80.3994979858
5296,Charles M. Schulz Sonoma County Airport,STS,38.50899887,-122.8130035
5312,Hays Regional Airport,HYS,38.84220123,-99.27320099
5343,Shenandoah Valley Regional Airport,SHD,38.2638015747,-78.8964004517
5355,Canyonlands Field,CNY,38.75500107,-109.7549973
5641,Destin Executive Airport,DSI,30.40010071,-86.47149658
5738,Northwest Florida Beaches International Airport,ECP,30.357106,-85.795414
5809,Rocky Mountain Metropolitan Airport,BJC,39.90879822,-105.1169968
6087,Hilton Head Airport,HHH,32.2243995667,-80.6975021362
